Internal catalogue id,Name (transliteration),Alternative names,Language,Script,Provenance note,External catalogue ids,Condition,Lines per folio/page,Length (cm),Height (cm),Date of copying,Material,Illustrations,Remarks,Photos available?,Text available?
ochs_000_000_029_asa_dp_no_0001_agastya,agastya vrata kathā,agastya vrata kathā,Sanskrit,Devanagari,ASA Archives,"dp_no: 0001, cd_no: ASK_BL-001, ask_no: habi 1",ff.27(4a-82b) missing ff.1-3.5-11.14-17.19.21.22.52.56.62 -65.70.71.73.76.77.80.83-,9 lines,23.5,10.0,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_000_030_asa_dp_no_0002_agastya,agastya vrata vidhāna,"(1) agastya vrata vidhāna , (2) vaiśravaṇa bhaṭṭārakasya vrata vidhāna , (3) ṣīoḍaśa lakṣmī devyāḥ kalaśānāṃ rūpa bheda",Sanskrit,Newa,ASA Archives,"dp_no: 0002, cd_no: ASK_BL-001, ask_no: habi 2",NA,6 or 20 lines,19.5,7.0,"NS786(1), 788(2)","Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_031_asa_dp_no_0003_candradvipavagame,candradvīpāvagāme śrī kaṇṭhanātha viracite ardharātra dīpa yogārcana vidhi,"(1) candradvīpāvagāme śrī kaṇṭhanātha viracite ardharātra dīpa yogārcana vidhi , (2) damanādhivāsana vidhi , (3) damanāvarohana vidhi",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0003, cd_no: ASK_BL-001, ask_no: habi 3",NA,7 lines,21.3,7.0,NS763,Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_032_asa_dp_no_0004_sri,"śrī candradvīpāvatāre śrī kaṇṭhanātha viracite arddharātra dīpa yoga vidhi , and arddharātri dīpayogārcaṇa sūtra","śrī candradvīpāvatāre śrī kaṇṭhanātha viracite arddharātra dīpa yoga vidhi , and arddharātri dīpayogārcaṇa sūtra",Sanskrit,Newa,ASA Archives,"dp_no: 0004, cd_no: ASK_BL-001, ask_no: habi 4",NA,6 lines,22.7,8.5,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_033_asa_dp_no_0005_candradipavatare,candradīpāvatāre śrī kuṇḍanātha viracite śrī kubjikāmate arddharātrī dīpa yogārcana vidhi,"(1) candradīpāvatāre śrī kuṇḍanātha viracite śrī kubjikāmate arddharātrī dīpa yogārcana vidhi , (2) sūdrayā bali biye vidh",Newa,Newa,ASA Archives,"dp_no: 0005, cd_no: ASK_BL-001, ask_no: habi 5",NA,7 lines,23.5,8.5,NS794,"Paper, coat of HARTALA on one side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_034_asa_dp_no_0006_sricandradipavatare,śrīcandradīpāvatāre śrīkaṇṭhanātha viracitāyaṃ arddharātri dīpayāgra,śrīcandradīpāvatāre śrīkaṇṭhanātha viracitāyaṃ arddharātri dīpayāgra (?)kriyā vidhi,Sanskrit,Newa,ASA Archives,"dp_no: 0006, cd_no: ASK_BL-001, ask_no: habi 6",NA,8 lines,21.8,7.5,NS793,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_035_asa_dp_no_0007_svasthana,svasthāna parameśvaryāḥ vrata vidhāna,"(1) svasthāna parameśvaryāḥ vrata vidhāna , (2) bhairavatantre devī hara saṃvāde vaṭukabhairava kavaca , (3) viṣṇudharmottare tṛtīya kāṇḍe amogha vaiṣṇavī n āma trailokyavijayāparājitā mahāstuti rājJī , (4) īśvara pārvatī saṃvāde haridrā gaṇeśa kavaca , (5) ananta deva pūjā , (6) skandapurāṇe hanumanta stotra , (7) rudrayāmale ekākṣara gaṇapati stotra",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0007, cd_no: ASK_BL-001, ask_no: habi 7",NA,6 or 7 lines,20.8,7.3,NS892(?),"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_036_asa_dp_no_0008_sri,śrī bhagavate śrī ananta stotra,"(1) śrī bhagavate śrī ananta stotra ( or anantavrata ) , (2) mahālakṣmī vrata vidhi , (3) dharma vidhi ( or vrata vidhāna )",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0008, cd_no: ASK_BL-001, ask_no: habi 8",NA,7 lines,18.6,6.2,NS727(3),Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_037_asa_dp_no_0009_ananta,ananta vrata vidhi,ananta vrata vidhi,Sanskrit,Newa,ASA Archives,"dp_no: 0009, cd_no: ASK_BL-001, ask_no: habi 9",NA,5 lines,26.0,8.5,NS797,Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_038_asa_dp_no_0010_ayutahuti,ayutāhuti yajJa vidhāna,"(1) ayutāhuti yajJa vidhāna , (2) pūrṇāhuti ( or āsaṃśā vidhi )",Sanskrit,Newa,ASA Archives,"dp_no: 0010, cd_no: ASK_BL-001, ask_no: habi 10",NA,18-20 or 10 lines,24.1,11.0,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
