"photo","chapter","verse","transliteration_with_image_change","transliteration","notes_parallels","notes_collation","translation_english","notes_sanskrit","notes_translation"
"ochs_000_000_002_amrtesatantram_000_001.jpg","1","1-2",NA,"oṃ namaḥ śivādibhyo gurubhyaḥ / yas tṛdhā triṣv avasthāsu rūpam āsthāya śaktimān / udbhavasthitisaṃhāraṃ kṛtsnaṃ viśvasya śaktitaḥ // 1 // vidadhāti namas tasmai śuddhāmṛtamayātmane / śivāya brahmaviśveśaparāya paramātmane // 2 //",NA,"1a yas tṛdhā triṣv avasthāsu ] N1 : tridhā N2 ; aha tridhā tisṛṣvavasthāsu K1 1c saṃhāraṃ ] N2 : saṃhāra- N1 ; saṃhārān K1 1d kṛtsnaṃ ] N1 N2 : kṛtsna- K1 2a vidadhāti ] N1 N2 : vidhātā yo K1 2c brahmav- iśveśa ] N1N2 : brahmaviṣṇvīśaK1","Oṃ Homage to the teachers beginning with Śiva. 1.1-2. Homage to Śiva, the supreme Lord of the Universe [beginning with] Brahma, who is threefold, the possessor of power, having taken form in three states, he performs the entire arising, maintenance, and destruction of the universe from his power, whose nature is full of the pure nectar [of immortality], the supreme self.",NA,NA
"ochs_000_000_002_amrtesatantram_000_001.jpg","1","3-4ab",NA,"kailāsaśikharāsīnaṃ devadevaṃ maheśvaram / krīḍantaṃ ca gaṇaiḥ sārdhaṃ pārvatyā sahitaṃ haram // 3 // dṛṣṭvā pramuditaṃ daivaṃ prāṇināṃ hitakāmyayā /","3b ≈ Kulārṇavatantra 1.1ab kailāsaśikharāsīnaṃ devadevaṃ jagadgurum; Niḥśvāsatattvasaṃhitā 1.2cd kailāsaśikharāsī-
naṃ devadevaṃ jagadgurum ; Amanaskayoga 1.1ab kailāsaśikharāsīnaṃ sarvajñaṃ sarvagaṃ śivam.","4a daivaṃ ] N2K1 : devaṃ N1","1.3-4ab. Parvatī, with desire for the welfare of living beings, having seen the delighted god seated on the peak of Mount Kailasa, God of Gods, the Great Lord, the Destroyer, together with Parvatī, and playing with the host [of supernatural beings], rose quickly from his lap and grasped his feet. Having satis ed the Supreme Lord with supreme devotion she asked: The Goddess spoke:","4a N1 daivaṃ is evidently not as good as devaṃ of N2 and K1 , but in accordance with the principle of presenting the text of N1 , I have not amended it.",NA
"ochs_000_000_002_amrtesatantram_000_001.jpg","1","4cd-9",NA,"utsaṃgād avatīryāśu pādau jagrāha pārvatī // 4 // papraccha parayā bhaktyā santoṣya parameśvaram / śrī devy uvāca: bhagavan devadeveśa lokanātha jagatpate // 5 // yaṃ tvayā mahadāścaryaṃ kṛtaṃ vismayakārakam / sarvasya jagato deva kiṃtu me parameśvara // 6 // durvijñeyaṃ durārādhyaṃ rahasyaṃ na prakāśitam / kārttikeyasya na mayā na sureśu gaṇeśu ca // 7 // yogeśvarīṇāṃ mātrīṇām ṛṣīnāṃ yogināṃ na hi / tad adya me jagannātha suprasanno yadi prabho // 8 // prārthayāmi prapannāhaṃ niḥśeṣaṃ vaktum arhasi / evaṃ devyā vacaḥ śrutvā prasannavadano 'bravīt// 9 //",NA,"6a yaṃ ] N1 : yat N2K1 7a durārādhyaṃ ] N1 N2 : durāsādhaṃ K1 7d ca ] N1 N2 : vā K1 8b ṛṣīnāṃ yogināṃ nahi ] N1 N2 : ṛṣīnāṃ me yogināṃ nahi K1 8d suprasanno yadi prabho ] N1 N2 : prasanno 'si yadi prabho K1 9b vaktum arhasi ] K1 : vaktum icchasi N1 N2 9d prasannvadano ] N1 N2 : prahāsavadano K1","1.4cd-9. O Lord, Lord of the God of Gods, Lord of the Worlds, Lord of the Universe, you create a great wonder that generates astonishment, O God of the entire universe, my own Supreme Lord. It is diﬃcult to know, diﬃcult to attain, secret, not illuminated for Kārt- tikeya, nor for me, nor among the gods or hosts, nor for the Lords of Yoga, the Mothers, the Sages, [and] Yogis. O Lord, if you are very pleased with me today, O Lord of the Universe, I, humbled, ask that you tell me [about it] fully. So having heard the speech of the Goddess, the one with a pleased countenance spoke: The Lord spoke:",NA,NA
"ochs_000_000_002_amrtesatantram_000_001.jpg","1","10",NA,"bhagavān uvāca: kiṃ kiṃ vadasi suśroṇi rahasyan te hṛdi sthitam / sarvaṃ vakṣyāmy asaṃdehi toṣito 'haṃ tvayānaghe // 10 //",NA,"10a vadasi ] N1 N2 : vadasva K1","1.10. Whatever the secret in your heart, O one with excellent hips, [which] you speak of, I shall certainly explain all to you, [because I am] content with you, O sinless one. The Goddess spoke:",NA,NA
"ochs_000_000_002_amrtesatantram_000_001.jpg","1","11",NA,"devy uvāca: bhagavan devadeveśa citrāścaryavidhāyakam / āścaryam īdṛśaṃ ramyaṃ na śrutaṃ tacchṛṇomy aham// 11 //",NA,"11b -vidhāyakam ] N1 N2 : -pravartaka K1","1.11. Lord, Lord of the God of Gods, I would hear about such delightful wonder, exhibiting various wonders, not [previously] heard.",NA,NA
"ochs_000_000_002_amrtesatantram_000_001.jpg","1","12",NA,"vibho prasannavadana paramānandakāraka / amātsaryeṇa bhagavan kathanīyaṃ tvayā mama// 12 //",NA,NA,"1.12. O Master with a pleased countenance who causes supreme bliss, O Lord, tell me this without displeasure.",NA,NA
"ochs_000_000_002_amrtesatantram_000_001.jpg","1","13",NA,"yat tad āpo'mayaṃ deva cakṣuḥ sarvatra dṛśyate / tasmād agniḥ kathaṃ raudra utpannaḥ kāladāhakaḥ// 13 //",NA,NA,"1.13. O God, whatever consists of water is the eye seen everywhere, so how can re that burns time have arisen from it, O ferocious one?",NA,NA
"ochs_000_000_002_amrtesatantram_000_002.jpg","1","14",NA,"yena vai dṛṣṭamātreṇa mitrīṣo bhasmasātkṛtaḥ / kiṃ tad raudraṃ kṛtaṃ deva vahniḥ kāladidṛkṣayā // 14 //",NA,"14a dṛṣṭamātreṇa ] N1 N2 : dṛṣṭamātras tu K1 14b mitrīṣo ] N1 N2 : mitrajo K1 14d vahniḥ kāladidṛkṣayā ] K1 : vahnikāladidhakṣayā N1 N2","1.14. Kāma was completely turned to ash by merely being seen by it. 1 What is that ferocious re produced, O God, by the desire to look at time? 2",NA,"1 The text uses the name Mitraja as a synonym for Kāma. Mitra is not usually the father of Kāma (it is usually Dharma). This is the only occurrence of the name I have found in tantric texts although although Mitrīśa occurs in the Svacchandapaddhati (p. 176 line 3713, 202 line 4330 as a component of a mantra to Kāmeśvarī). The verse refers to the famous myth of Śiva destroying Kāma
2 That is, time is identi􏰀ed with desire that the god desires to destroy through the 􏰀re of his eye."
"ochs_000_000_002_amrtesatantram_000_002.jpg","1","15",NA,"prajvālitajagatsarvaṃ brahmādisthāvarāntikam / kāmas tathaiva nirdagdho līlayā parameśvara // 15 //",NA,"15a prajvalita- ] N1 : prajvalitaṃ N2 K1 15b brahmādisthāvarāntikam ] N1 N2 : brahmādisthāvarāntakam K1","1.15. [That re] has ignited the entire universe beginning from [the world of] Brahma to the plant [world]. Desire itself is burned easily, O Supreme Lord, in the same manner",NA,NA
"ochs_000_000_002_amrtesatantram_000_002.jpg","1","16",NA,"krodhanetrānalenātha nātha dṛśyate yan na kaśyacit / kṛtaṃ tad devadevena mahāvismayakārakam // 16 //",NA,"16a krodhanetrānalenātha ] N1 N2 : krodhanetrānalaṃ K1 16c tad ] N1 N2 : yad K1","1.16. O Lord, thus the re of the angry eye is cause of the great wonder created by the God of Gods, which is seen by no one at all.",NA,NA
