"chapter","verse","sanskrit","transliteration","translation_danish","translation_english","footnotes_translation_danish","footnotes_transliteration","footnotes_sanskrit"
"1","1","प्रथमोपदेश​:
श्रीआदिनाथाय नमोऽस्तु तस्मै येनोपदिष्टा हठयोगविद्या ।
विभ्राजते प्रोन्नतराजयोगमारोढुमिच्छोरधिरोहिणीव ॥१॥","śrīādināthāya namo'stu tasmai yenopadiṣṭā haṭhayogavidyā |
vibhrājate pronnatarājayogam āroḍhum icchor adhirohiṇīva || 1.1 ||","[1.1] En ærbødig hilsen til den glorværdige oprindelige Herre Śiva,
som introducerede visdommen om haṭhayoga. Haṭhayoga fremstår som en
stige for den, der stræber efter den ophøjede rājayoga.[^1]","[1.1] Salutation to ādinātha (Śiva) who expounded the knowledge of Haṭha Yoga, which like a staircase leads the aspirant to the high pinnacled Rāja Yoga.","[^1]: Rājayoga refererer i Haṭhapradīpikā til den højeste bevidsthedstilstand samādhi og ikke til Patañjalis yoga. Rājayoga behandles indgående i fjerde kapitel som samādhi.",NA,NA
"1","2","प्रणम्य श्रीगुरुं नाथं स्वात्मारामेण योगिना ।
केवलं राजयोगाय हठविद्योपदिष्यते ॥२॥","praṇamya śrīguruṃ nāthaṃ svātmārāmeṇa yoginā |
kevalaṃ rājayogāya haṭhavidyopadiśyate || 1.2 ||","[1.2] Med en ærbødig hilsen til den glorværdige guru, Herren Śiva,
udlægger yogien Svātmārāma læren om haṭhayoga med rājayoga for øje.","[1.2] Yogin Swātmārāma, after saluting first his Gurū Srinātha explains Haṭha Yoga for the attainment of Raja Yoga.",NA,NA,NA
"1","3","भ्रान्त्या बहुमतध्वान्ते राजयोगमजानताम् ।
हठप्रदीपिकां धत्ते स्वात्मारामः कृपाकरः ॥३॥","bhrāntyā bahumatadhvānte rājayogam ajānatām |
haṭhapradīpikāṃ dhatte svātmārāmaḥ kr̥pākaraḥ || 1.3 ||","[1.3] Den medfølende Svātmārāma sætter haṭhayogaens lys frem for dem,
som er uden indsigt i rājayoga, eftersom de vandrer forvildet rundt i de
mange doktriners nat.","[1.3] Owing to the darkness arising from the multiplicity of opinions people are unable to know the Rāja Yoga. Compassionate Swātmārāma composes the Haṭha Yoga Pradipikā like a torch to dispel it.",NA,NA,NA
"1","4","हठविद्यां हि मत्स्येन्द्रगोरक्षाद्या विजानते ।
स्वात्मारामोऽथवा योगी जानीते तत्प्रसादतः ॥४॥","haṭhavidyāṃ hi matsyendragorakṣādyā vijānate |
svātmārāmo'thavā yogī jānīte tatprasādataḥ || 1.4 ||","[1.4] Han har sand indsigt i visdommen om haṭhayoga i kraft af
Matsyendra, Gorakṣa med flere, eller rettere: yogien Svātmārāma har sand
indsigt ved deres gunst.","[1.4] Matsyendra, Gorakṣa, etc., knew Haṭha Vidyā, and by their favour Yogī Swātmārāma also learnt it from them. [1.4] The following Siddhas (masters) are said to have existed in former times:—",NA,NA,NA
"1","5","श्रीआदिनाथमत्स्येन्द्रशावरानन्दभैरवाः ।
चौरगीमीनगोरक्षविरूपाक्षबिलेशयाः ॥५॥","śrīādināthamatsyendraśāvarānandabhairavāḥ |
cauraṅgīmīnagorakṣavirūpākṣabileśayāḥ || 1.5 ||","[1.5-8] Den glorværdige oprindelige Herre Śiva[^2] og sidenhen
Matsyendra, Śābara, Ānandabhairava, Cauraṅgin, Mīna, Gorakṣa, Virūpākṣa,
Bileśaya, Manthāna, Bhairava Yogī, Siddhi Buddha og Kanthaḍi, Koraṇṭaka,
Surānanda, Siddhapāda og Carpaṭi, Kānerin, Pūjyapāda, Nityanātha,
Nirañjana, Kapālin, Bindunātha og Kākacaṇḍīśvara, Allāma Prabhudeva,
Ghoḍācolin og Ṭiṇṭiṇi, Bhānukin, Nāradeva og Khaṇḍa Kāpālika med flere.","[1.5] Sri ādinātha (Śiva), Matsyendra, Nātha, Sābar, Anand, Bhairava, Chaurangi, Mīna nātha, Gorakṣanātha, Virupākṣa, Bileśaya.","[^2]: Mahāsiddhaer, 'store mestre, fuldkomne yogier'. Her oplistes den guru-discipel-succession (guru-śiṣya-paraṃparā), som forfatteren Svātmārama og værket Haṭhapradīpikā indskriver sig i.",NA,NA
"1","6","मन्थानो भैरवो योगी सिद्धिर्बुद्धश्च कन्थडिः।
कोरण्टकःसुरानन्दः सिद्धपादश्च चर्पटिः ॥६॥","manthāno bhairavo yogī siddhir buddhaś ca kanthaḍiḥ |
koraṇṭakaḥ surānandaḥ siddhapādaś ca carpaṭiḥ || 1.6 ||",NA,"[1.6] Manthāna, Bhairava, Siddhi Buddha, Kanthadi, Karantaka, Surānanda, Siddhipāda, Charapati.",NA,NA,NA
"1","7","कानेरी पूज्यपादश्च नित्यनाथो निरञ्जनः ।
कपाली बिन्दुनाथश्च काकचण्डीश्वराह्वयः ॥७॥","kānerī pūjyapādaś ca nityanātho nirañjanaḥ |
kapālī bindunāthaś ca kākacaṇḍīśvarāhvayaḥ || 1.7 ||",NA,"[1.7] Kānerī, Pūjyapāda, Nityanātha, Nirañjana, Kapāli, Vindunātha, Kāka Chandīśwara.",NA,NA,NA
"1","8","अल्लामः प्रभुदेवश्च घोडा चोली च टिण्टिणिः ।
भानुकी नारदेवश्च खण्डः कापालिकस्तथा ॥८॥","allāmaḥ prabhudevaś ca ghoḍā colī ca ṭiṇṭiṇiḥ |
bhānukī nāradevaś ca khaṇḍaḥ kāpālikas tathā || 1.8 ||",NA,"[1.8] Allāma, Prabhudeva, Ghodā, Cholī, Tintiṇi, Bhānukī Nārdeva, Khanda Kāpālika, etc.",NA,NA,NA
"1","9","इत्यादयो महासिद्धा हठयोगप्रभावतः ।
खण्डयित्वा कालदण्डं ब्रह्माण्डे विचरन्ति ते ॥९॥","ity ādayo mahāsiddhā haṭhayogaprabhāvataḥ |
khaṇḍayitvā kāladaṇḍaṃ brahmāṇḍe vicaranti te || 1.9 ||","[1.9] Efter disse Mahāsiddhaer har knust dødens scepter ved
haṭhayogaens kraft, bevæger de sig frit i Brahmās æg.[^3]","[1.9] These Mahāsiddhas (great masters), breaking the sceptre of death, are roaming in the universe.","[^3]: Brahmās æg er det hinduistiske kosmos, der omfatter 21 verdensetager: seks himle, jorden, syv underverdener og syv helveder.",NA,NA
"1","10","अशेषतापतप्तानां समाश्रयमठो हठः ।
अशेषयोगयुक्तानामाधारकमठो हठः ॥१०॥","aśeṣatāpataptānāṃ samāśrayamaṭho haṭhaḥ |
aśeṣayogayuktānām ādhārakamaṭho haṭhaḥ || 1.10 ||","[1.10] Haṭhayoga er tilflugtsstedet for dem, der lider under alverdens
plager. Haṭhayoga er grundlaget for dem, som er optaget af alverdens
yoga.","[1.10] Like a house protecting one from the heat of the sun, Haṭha Yoga protects its practiser from the burning heat of the three Tāpas; and, similarly, it is the supporting tortoise, as it were, for those who are constantly devoted to the practice of Yoga.",NA,NA,NA
